SN_name,EW6355,EW6355_err,EW5972,EW5972_err,min6355,min6355_err,min5972,dep6355,dep5972,v_si,v_si_err,R_si,phase,filename_csv,Del_Lambda
SN2000dk,123.7490087,0.141215564,38.37931963,0.17580881,6124.190858,0.998774077,5770.770771,0.7143316,0.323699883,1.089578957,0.00E+00,0.453150726,0.4,SN_2000dk_2000-09-26_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.965164313
SN2000dm,107.40151,0.38018089,28.58358674,0.346324598,6120.186854,1.124611248,5764.764765,0.677342139,0.221289547,1.108480629,1.00E-02,0.326702761,-2,SN_2000dm_2000-09-26_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.96983023
SN2000dn,107.5497869,0.574769517,20.87237282,0.675821143,6134.801468,4.20208515,5790.790791,0.651229594,0.141115478,1.039489529,2.00E-02,0.216690825,-0.95,2000dn_2000-10-06_06-00-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.45277738
SN2000fa,96.85711281,0.965069156,13.20268883,0.782915374,6114.514515,0.917432572,5766.766767,0.670397655,0.128779853,1.135257996,0.00E+00,0.192094725,0.36,2000fa_2000-12-15_08-38-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.468145967
SN2001ay,155.6716562,0.536986952,11.8528503,0.423313872,6069.936603,4.125074264,5718.718719,0.701142727,0.100796553,1.345696601,2.00E-02,0.143760391,0.34,2001ay_2001-04-26_08-09-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.455456516
SN2001br,101.9987587,0.589380838,16.69858692,0.561788463,6078.878879,1.302584004,5770.770771,0.534485582,0.131459045,1.303482869,1.00E-02,0.245954333,-0.46,2001br_2001-05-21_10-33-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.468715156
SN2001cp,80.96952072,0.473811783,5.171087808,0.646255484,6131.064398,3.850349479,5782.782783,0.590188428,0.077043054,1.057131089,2.00E-02,0.130539757,0.6,SN_2001cp_2001-06-29_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.955630652
SN2001da,113.865087,0.444578879,27.82933373,0.429160359,6111.778445,0.943752794,5790.790791,0.663977577,0.223023657,1.148174138,0.00E+00,0.335890344,-0.04,2001da_2001-07-16_11-02-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.474057514
SN2001en,138.3235037,0.420640891,11.04283719,0.317710887,6086.419753,2.496935193,5758.758759,0.717044653,0.079779366,1.267884722,1.00E-02,0.111261364,0.39,2001en_2001-10-11_09-21-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.475217732
SN2001ep,113.0993362,0.255561324,33.0713527,0.325796852,6131.731732,1.563613549,5782.782783,0.695788923,0.226519068,1.05398081,1.00E-02,0.325557164,0.43,2001ep_2001-10-18_10-19-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.480169105
SN2001ex,114.9834554,0.672665237,53.96876155,1.059704907,6152.485819,0.943752794,5770.770771,0.727064323,0.477233952,0.956007148,0.00E+00,0.656384774,-2.1,SN_2001ex_2001-10-20_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.948047291
SN2001fe,70.70653663,0.221441497,20.35728181,0.322479878,6123.857191,1.50557413,5830.830831,0.574074754,0.063533455,1.091154097,1.00E-02,0.110671049,0.31,2001fe_2001-11-16_12-14-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.479584866
SN2001fh,96.92624417,1.369391474,38.32189655,1.459789794,6124.190858,0.998774077,5760.760761,0.554679551,0.229484677,1.089578957,0.00E+00,0.413724783,-1.7,2001fh_2001-11-09_02-24-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.481192634
SN2001N,116.1988086,1.040687246,17.3138687,0.867948764,6076.810143,3.217075954,5780.780781,0.422634863,0.162319198,1.313248733,2.00E-02,0.384064856,0.66,2001N_2001-01-22_11-02-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.468571306
SN2002bf,140.2071295,0.502517984,9.27184505,0.358895198,6042.175509,0.992063313,5760.760761,0.63466272,0.079030644,1.476748188,0.00E+00,0.124523848,1.82,2002bf_2002-03-06_05-16-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.463697094
SN2002bo,145.8480221,0.341500622,17.98587232,0.648318128,6078.144811,1.52759735,5764.764765,0.6956594,0.110272053,1.306948176,1.00E-02,0.15851443,-1.83,SN2002bo_2002-03-22_04-04-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.49299144
SN2002cd,121.2685848,0.854157429,8.725620946,0.717024048,6043.977311,0.998774077,5712.712713,0.67952852,0.089309271,1.468242436,0.00E+00,0.13142829,0.28,2002cd_2002-04-19_11-31-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.483974945
SN2002cf,123.5650961,0.303104749,59.23982461,0.357356223,6132.599266,0.885318596,5772.772773,0.66494822,0.466458,1.049885448,0.00E+00,0.701495223,-0.8,SN_2002cf_2002-04-20_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.968918541
SN2002ck,68.61389237,0.678363468,11.53361435,0.620724632,6140.540541,0.917432572,5794.794795,0.602670662,0.103036611,1.012397134,0.00E+00,0.170966694,0.34,2002ck_2002-05-03_08-09-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.456021852
