SN_name,zhel,tmax(B),+/-,ref.,Dm15,Dm15_err,ref.,M_B,+/-,B-V,+/-,Bm-Vm,+/-,Phot.ref.
SN2002ck,0.0298,52397,0.6,B_SA,1.08,0.09,B,-19.43,0.08,-0.1,0.06,-0.08,0.06,CfA3
SN2002cr,0.0094,52408.6,0.5,B_M_SA_SN,1.19,0.06,B,-19.45,0.07,-0.15,0.05,-0.14,0.04,CfA3
SN2002cs,0.0158,52410,0.7,B_SA_SN,0.99,0.03,B,-19.55,0.09,-0.21,0.05,-0.17,0.04,Gan10
SN2002cu,0.0228,52415.9,0.4,B_M_SA_SN,1.35,0.03,B,-19.08,0.08,-0.09,0.05,-0.18,0.06,Gan10
SN2002cx,0.024,52415.7,1.5,B_M,1.51,0.09,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07_Gan10
SN2002db,0.0362,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002de,0.028,52433.5,0.6,B_M_SA,0.96,0.04,B,-19.51,0.08,-0.16,0.04,-0.26,0.11,CfA3_Gan10
SN2002df,0.0287,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002di,0.0364,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002dj,0.0093,52450.6,0.2,B_M_SA_SN,1.19,0.05,B,-19.35,0.07,-0.07,0.05,-0.05,0.04,CfA3_Gan10
SN2002dk,0.0185,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN2002dl,0.0163,52452,0,B_M,1.76,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10
SN2002do,0.0159,52442.4,0.9,B_M,1.56,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3_Gan10
SN2002dp,0.0117,52450.3,0.2,B_M_SA_SN,1.12,0.04,B,-19.39,0.1,-0.11,0.05,-0.09,0.05,CfA3
SN2002ef,0.0236,52490.4,0.4,B_M_SA_SN,1.06,0.04,B,-19.34,0.08,-0.06,0.04,-0.19,0.03,Gan10
SN2002er,0.0091,52524.9,0.5,B_M_SA_SN,1.23,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07
SN2002es,0.018,52518.3,0.3,BSNIP,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3
